Country/Regional Local Authority,ONS area code,Notes,Period,Observation
Surrey,E10000030,,2020,26.3
West Sussex,E10000032,,2020,30.0
Country/Regional Local Authority,ONS area ,,2021,2021.0
County Durham UA,E06000047,,2021,29.7
Darlington UA,E06000005,,2021,27.5
Hartlepool UA,E06000001,,2021,31.4
Middlesbrough UA,E06000002,,2021,26.5
Northumberland UA,E06000048,,2021,32.5
Redcar and Cleveland UA,E06000003,,2021,33.7
Stockton-on-Tees UA,E06000004,,2021,24.5
Tyne and Wear (Met County),E11000004,,2021,21.2
Gateshead,E08000020,,2021,21.4
Newcastle upon Tyne,E08000021,,2021,18.3
North Tyneside,E08000022,,2021,22.4
South Tyneside,E08000023,,2021,19.8
Sunderland,E08000024,,2021,23.5
North West (Region),E12000002,,2021,23.3
Blackburn with Darwen UA,E06000008,,2021,19.0
Blackpool UA,E06000009,,2021,17.5
Cheshire East UA,E06000049,,2021,30.2
Cheshire West and Chester UA,E06000050,,2021,28.6
Halton UA,E06000006,,2021,38.0
Warrington UA,E06000007,,2021,23.8
Cumbria,E10000006,,2021,31.7
Lancashire,E10000017,,2021,25.3
Greater Manchester (Met County),E11000001,,2021,19.1
Bolton,E08000001,,2021,21.8
Bury,E08000002,,2021,18.7
Manchester,E08000003,,2021,16.7
Oldham,E08000004,,2021,19.5
Rochdale,E08000005,,2021,19.2
Salford,E08000006,,2021,18.9
Stockport,E08000007,,2021,20.4
Tameside,E08000008,,2021,17.1
Trafford,E08000009,,2021,19.4
Wigan,E08000010,,2021,20.3
Merseyside (Met County),E11000002,,2021,20.7
Knowsley,E08000011,,2021,28.3
Liverpool,E08000012,,2021,16.4
Sefton,E08000014,,2021,21.3
St. Helens,E08000013,,2021,25.1
Wirral,E08000015,,2021,22.9
Yorkshire and the Humber (Region),E12000003,,2021,25.6
East Riding of Yorkshire UA,E06000011,,2021,35.5
"Kingston upon Hull, City of UA",E06000010,,2021,16.0
North East Lincolnshire UA,E06000012,,2021,23.4
North Lincolnshire UA,E06000013,,2021,32.8
York UA,E06000014,,2021,24.6
North Yorkshire,E10000023,,2021,32.4
South Yorkshire (Met County),E11000003,,2021,25.0
Barnsley,E08000016,,2021,26.4
Doncaster,E08000017,,2021,27.5
Rotherham,E08000018,,2021,27.0
Sheffield,E08000019,,2021,21.8
West Yorkshire (Met County),E11000006,,2021,22.2
Bradford,E08000032,,2021,19.9
Calderdale,E08000033,,2021,21.9
Kirklees,E08000034,,2021,20.8
Leeds,E08000035,,2021,23.5
Wakefield,E08000036,,2021,24.3
East Midlands (Region),E12000004,,2021,28.2
Derby UA,E06000015,,2021,20.7
Leicester UA,E06000016,,2021,17.5
Nottingham UA,E06000018,,2021,14.2
Rutland UA,E06000017,,2021,39.0
Derbyshire,E10000007,,2021,29.0
Leicestershire,E10000018,,2021,30.5
Lincolnshire,E10000019,,2021,34.7
North Northamptonshire  ,E06000061,data-not-available,2021,
Northamptonshire  ,E10000021,data-not-available,2021,29.9
Nottinghamshire,E10000024,,2021,28.5
West Northamptonshire ,E06000062,data-not-available,2021,
West Midlands (Region),E12000005,,2021,25.7
"Herefordshire, County of UA",E06000019,,2021,32.4
Shropshire UA,E06000051,,2021,33.2
Stoke-on-Trent UA,E06000021,,2021,19.5
Telford and Wrekin UA,E06000020,,2021,35.8
Staffordshire,E10000028,,2021,28.7
Warwickshire,E10000031,,2021,29.8
Worcestershire,E10000034,,2021,31.3
West Midlands (Met County),E11000005,,2021,19.9
Birmingham,E08000025,,2021,18.1
Coventry,E08000026,,2021,24.0
Dudley,E08000027,,2021,19.5
Sandwell,E08000028,,2021,19.3
Solihull,E08000029,,2021,31.0
Walsall,E08000030,,2021,20.6
Wolverhampton,E08000031,,2021,17.6
Greater London (Region),E12000007,,2021,14.7
Inner London,E13000001,,2021,10.8
Camden,E09000007,,2021,8.3
City of London,E09000001,,2021,8.5
Hackney,E09000012,,2021,11.0
Hammersmith and Fulham,E09000013,,2021,12.7
Haringey,E09000014,,2021,10.6
Islington,E09000019,,2021,8.9
Kensington and Chelsea,E09000020,,2021,9.9
Lambeth,E09000022,,2021,9.1
Lewisham,E09000023,,2021,9.9
Newham,E09000025,,2021,17.0
Southwark,E09000028,,2021,8.9
Tower Hamlets,E09000030,,2021,14.6
Wandsworth,E09000032,,2021,10.2
Westminster,E09000033,,2021,9.0
Outer London,E13000002,,2021,17.5
Barking and Dagenham,E09000002,,2021,18.0
Barnet,E09000003,,2021,17.5
Bexley,E09000004,,2021,20.5
Brent,E09000005,,2021,15.9
Bromley,E09000006,,2021,15.8
Croydon,E09000008,,2021,13.5
Ealing,E09000009,,2021,17.9
Enfield,E09000010,,2021,15.4
Greenwich,E09000011,,2021,15.7
Harrow,E09000015,,2021,16.4
Havering,E09000016,,2021,24.9
Hillingdon,E09000017,,2021,26.1
Hounslow,E09000018,,2021,16.9
Kingston upon Thames,E09000021,,2021,21.1
Merton,E09000024,,2021,12.0
Redbridge,E09000026,,2021,21.2
Richmond upon Thames,E09000027,,2021,14.5
Sutton,E09000029,,2021,13.5
Waltham Forest,E09000031,,2021,16.5
East of England (Region),E12000006,,2021,30.0
Bedford UA,E06000055,,2021,24.6
Central Bedfordshire UA,E06000056,,2021,32.4
Luton UA,E06000032,,2021,20.1
Peterborough UA,E06000031,,2021,35.8
Southend-on-Sea UA,E06000033,,2021,19.3
Thurrock UA,E06000034,,2021,30.1
Cambridgeshire,E10000003,,2021,32.8
Essex,E10000012,,2021,30.1
Hertfordshire,E10000015,,2021,29.4
Norfolk,E10000020,,2021,31.6
Suffolk,E10000029,,2021,30.1
South West (Region),E12000009,,2021,27.7
Bath and North East Somerset UA,E06000022,,2021,24.0
"Bournemouth, Christchurch and Poole UA",E06000058,,2021,21.7
"Bristol, City of UA",E06000023,,2021,16.4
Cornwall UA,E06000052,,2021,28.8
Isles of Scilly UA,E06000053,data-not-available,2021,
North Somerset UA,E06000024,,2021,30.3
Plymouth UA,E06000026,,2021,16.6
South Gloucestershire UA,E06000025,,2021,25.8
Swindon UA,E06000030,,2021,23.5
Torbay UA,E06000027,,2021,22.1
Wiltshire UA,E06000054,,2021,30.9
Devon,E10000008,,2021,32.2
Dorset,E06000059,,2021,34.1
Gloucestershire,E10000013,,2021,28.8
Somerset,E10000027,,2021,30.5
South East (Region),E12000008,,2021,26.7
Bracknell Forest UA,E06000036,,2021,28.8
Brighton and Hove UA,E06000043,,2021,13.2
Isle of Wight UA,E06000046,,2021,18.6
Medway UA,E06000035,,2021,24.9
Milton Keynes UA,E06000042,,2021,35.8
Portsmouth UA,E06000044,,2021,18.3
Reading UA,E06000038,,2021,14.3
Slough UA,E06000039,,2021,15.5
Southampton UA,E06000045,,2021,14.9
West Berkshire UA,E06000037,,2021,27.4
Windsor and Maidenhead UA,E06000040,,2021,27.1
Wokingham UA,E06000041,,2021,24.6
Buckinghamshire,E10000002,,2021,28.4
East Sussex,E10000011,,2021,26.3
Hampshire,E10000014,,2021,31.1
Kent,E10000016,,2021,28.5
Oxfordshire,E10000025,,2021,29.5
Surrey,E10000030,,2021,25.3
West Sussex,E10000032,,2021,29.1
Country/Regional Local Authority,ONS area ,,2022,2022.0
County Durham UA,E06000047,,2022,29.7
Darlington UA,E06000005,,2022,26.7
Hartlepool UA,E06000001,,2022,30.3
Middlesbrough UA,E06000002,,2022,26.2
Northumberland UA,E06000048,,2022,33.1
Redcar and Cleveland UA,E06000003,,2022,33.5
Stockton-on-Tees UA,E06000004,,2022,24.4
Tyne and Wear (Met County),E11000004,,2022,21.1
Gateshead,E08000020,,2022,20.9
Newcastle upon Tyne,E08000021,,2022,17.7
North Tyneside,E08000022,,2022,22.6
South Tyneside,E08000023,,2022,19.9
Sunderland,E08000024,,2022,23.7
North West (Region),E12000002,,2022,22.9
Blackburn with Darwen UA,E06000008,,2022,19.1
Blackpool UA,E06000009,,2022,17.3
Cheshire East UA,E06000049,,2022,29.9
Cheshire West and Chester UA,E06000050,,2022,29.2
Halton UA,E06000006,,2022,37.3
Warrington UA,E06000007,,2022,23.4
Cumbria,E10000006,,2022,31.0
Lancashire,E10000017,,2022,24.8
Greater Manchester (Met County),E11000001,,2022,18.5
Bolton,E08000001,,2022,21.2
Bury,E08000002,,2022,18.2
Manchester,E08000003,,2022,15.8
Oldham,E08000004,,2022,18.9
Rochdale,E08000005,,2022,18.9
Salford,E08000006,,2022,17.9
Stockport,E08000007,,2022,19.8
Tameside,E08000008,,2022,16.8
Trafford,E08000009,,2022,18.8
Wigan,E08000010,,2022,20.3
Merseyside (Met County),E11000002,,2022,20.7
Knowsley,E08000011,,2022,28.0
Liverpool,E08000012,,2022,16.7
Sefton,E08000014,,2022,21.1
St. Helens,E08000013,,2022,24.9
Wirral,E08000015,,2022,22.3
Yorkshire and the Humber (Region),E12000003,,2022,25.2
East Riding of Yorkshire UA,E06000011,,2022,35.3
"Kingston upon Hull, City of UA",E06000010,,2022,16.4
North East Lincolnshire UA,E06000012,,2022,23.4
North Lincolnshire UA,E06000013,,2022,33.4
York UA,E06000014,,2022,24.3
North Yorkshire,E10000023,,2022,32.2
South Yorkshire (Met County),E11000003,,2022,24.4
Barnsley,E08000016,,2022,26.5
Doncaster,E08000017,,2022,27.0
Rotherham,E08000018,,2022,26.3
Sheffield,E08000019,,2022,21.0
West Yorkshire (Met County),E11000006,,2022,21.7
Bradford,E08000032,,2022,19.8
Calderdale,E08000033,,2022,21.9
Kirklees,E08000034,,2022,19.9
Leeds,E08000035,,2022,23.0
Wakefield,E08000036,,2022,23.9
East Midlands (Region),E12000004,,2022,27.7
Derby UA,E06000015,,2022,20.2
Leicester UA,E06000016,,2022,16.4
Nottingham UA,E06000018,,2022,13.6
Rutland UA,E06000017,,2022,39.5
Derbyshire,E10000007,,2022,28.7
Leicestershire,E10000018,,2022,30.3
Lincolnshire,E10000019,,2022,34.7
North Northamptonshire  ,E06000061,data-not-available,2022,31.7
Northamptonshire  ,E10000021,data-not-available,2022,
Nottinghamshire,E10000024,,2022,27.9
West Northamptonshire ,E06000062,data-not-available,2022,28.1
West Midlands (Region),E12000005,,2022,25.2
"Herefordshire, County of UA",E06000019,,2022,30.7
Shropshire UA,E06000051,,2022,33.3
Stoke-on-Trent UA,E06000021,,2022,19.5
Telford and Wrekin UA,E06000020,,2022,34.8
Staffordshire,E10000028,,2022,28.3
Warwickshire,E10000031,,2022,29.0
Worcestershire,E10000034,,2022,31.2
West Midlands (Met County),E11000005,,2022,19.4
Birmingham,E08000025,,2022,17.7
Coventry,E08000026,,2022,23.2
Dudley,E08000027,,2022,19.0
Sandwell,E08000028,,2022,19.0
Solihull,E08000029,,2022,29.6
Walsall,E08000030,,2022,20.3
Wolverhampton,E08000031,,2022,17.0
Greater London (Region),E12000007,,2022,14.4
Inner London,E13000001,,2022,10.6
Camden,E09000007,,2022,8.1
City of London,E09000001,,2022,7.7
Hackney,E09000012,,2022,10.4
Hammersmith and Fulham,E09000013,,2022,11.9
Haringey,E09000014,,2022,10.5
Islington,E09000019,,2022,9.0
Kensington and Chelsea,E09000020,,2022,10.2
Lambeth,E09000022,,2022,9.1
Lewisham,E09000023,,2022,9.7
Newham,E09000025,,2022,17.0
Southwark,E09000028,,2022,8.5
Tower Hamlets,E09000030,,2022,14.2
Wandsworth,E09000032,,2022,10.1
Westminster,E09000033,,2022,8.8
Outer London,E13000002,,2022,17.2
Barking and Dagenham,E09000002,,2022,17.7
Barnet,E09000003,,2022,17.0
Bexley,E09000004,,2022,20.5
Brent,E09000005,,2022,15.7
Bromley,E09000006,,2022,15.7
Croydon,E09000008,,2022,13.3
Ealing,E09000009,,2022,17.3
Enfield,E09000010,,2022,15.3
Greenwich,E09000011,,2022,15.7
Harrow,E09000015,,2022,16.0
Havering,E09000016,,2022,24.4
Hillingdon,E09000017,,2022,25.3
Hounslow,E09000018,,2022,15.8
Kingston upon Thames,E09000021,,2022,20.2
Merton,E09000024,,2022,11.9
Redbridge,E09000026,,2022,21.1
Richmond upon Thames,E09000027,,2022,13.9
Sutton,E09000029,,2022,13.4
Waltham Forest,E09000031,,2022,17.8
East of England (Region),E12000006,,2022,29.7
Bedford UA,E06000055,,2022,24.0
Central Bedfordshire UA,E06000056,,2022,31.9
Luton UA,E06000032,,2022,19.8
Peterborough UA,E06000031,,2022,36.3
Southend-on-Sea UA,E06000033,,2022,19.1
Thurrock UA,E06000034,,2022,32.5
Cambridgeshire,E10000003,,2022,32.3
Essex,E10000012,,2022,29.6
Hertfordshire,E10000015,,2022,28.7
Norfolk,E10000020,,2022,31.3
Suffolk,E10000029,,2022,30.0
South West (Region),E12000009,,2022,27.4
Bath and North East Somerset UA,E06000022,,2022,23.2
"Bournemouth, Christchurch and Poole UA",E06000058,,2022,21.2
"Bristol, City of UA",E06000023,,2022,16.1
Cornwall UA,E06000052,,2022,28.9
Isles of Scilly UA,E06000053,data-not-available,2022,
North Somerset UA,E06000024,,2022,29.7
Plymouth UA,E06000026,,2022,16.6
South Gloucestershire UA,E06000025,,2022,25.5
Swindon UA,E06000030,,2022,23.9
Torbay UA,E06000027,,2022,22.3
Wiltshire UA,E06000054,,2022,30.7
Devon,E10000008,,2022,32.4
Dorset,E06000059,,2022,33.6
Gloucestershire,E10000013,,2022,28.3
Somerset,E10000027,,2022,29.9
South East (Region),E12000008,,2022,26.2
Bracknell Forest UA,E06000036,,2022,28.8
Brighton and Hove UA,E06000043,,2022,13.1
Isle of Wight UA,E06000046,,2022,18.8
Medway UA,E06000035,,2022,24.5
Milton Keynes UA,E06000042,,2022,35.0
Portsmouth UA,E06000044,,2022,17.8
Reading UA,E06000038,,2022,13.6
Slough UA,E06000039,,2022,14.6
Southampton UA,E06000045,,2022,14.4
West Berkshire UA,E06000037,,2022,27.2
Windsor and Maidenhead UA,E06000040,,2022,27.1
Wokingham UA,E06000041,,2022,24.6
Buckinghamshire,E10000002,,2022,28.3
East Sussex,E10000011,,2022,26.5
Hampshire,E10000014,,2022,30.8
Kent,E10000016,,2022,27.9
Oxfordshire,E10000025,,2022,28.9
Surrey,E10000030,,2022,24.7
West Sussex,E10000032,,2022,28.7
